!Clamp R On && ! Active eCall On && !RST	!Clamp R On && ! Active eCall On && !RST
% Tastverhaeltnis	% duty cycle
% Tastverhältnis	% duty cycle
U0029 Fahrzeug-Kommunikationsbus A - Leistungsproblem	U0029 Vehicle communication bus A - performance problem
U0030 Fahrzeug-Kommunikationsbus (+) - Leitungsunterbrechung	U0030 Vehicle communication bus (+) - open circuit
U0031 Fahrzeug-Kommunikationsbus A (+) - Input niedrig	U0031 Vehicle communication bus A (+) - input low
U0032 Fahrzeug-Kommunikationsbus A (+) - Input hoch	U0032 Vehicle communication bus A (+) - input high
U0033 Fahrzeug-Kommunikationsbus A (-) - Leitungsunterbrechung	U0033 Vehicle communication bus A (-) - open circuit
U0034 Fahrzeug-Kommunikationsbus A (-) - Input niedrig	U0034 Vehicle communication bus A (-) - input low
U0035 Fahrzeug-Kommunikationsbus A (-) - Input hoch	U0035 Vehicle communication bus A (-) - input high
U0036 Fahrzeug-Kommunikationsbus A (-) - Kurzschluss mit Bus A (+)	U0036 Vehicle communication bus A (-) - short circuit to bus A (+)
U0037 Fahrzeug-Kommunikationsbus B - Fehlfunktion	U0037 Vehicle communication bus B - malfunction
U0038 Fahrzeug-Kommunikationsbus B - Leistungsproblem	U0038 Vehicle communication bus B - performance problem
U0039 Fahrzeug-Kommunikationsbus B (+) - Leitungsunterbrechung	U0039 Vehicle communication bus B (+) - open circuit
U0040 Fahrzeug-Kommunikationsbus B (+) - Input niedrig	U0040 Vehicle communication bus B (+) - input low
U0041 Fahrzeug-Kommunikationsbus B (+) - Input hoch	U0041 Vehicle communication bus B (+) - input high
U0042 Fahrzeug-Kommunikationsbus B (-) - Leitungsunterbrechung	U0042 Vehicle communication bus B (-) - open circuit
U0043 Fahrzeug-Kommunikationsbus B (-) - Input niedrig	U0043 Vehicle communication bus B (-) - input low
U0044 Fahrzeug-Kommunikationsbus B (-) - Input niedrig	U0044 Vehicle communication bus B (-) - input low
U0045 Fahrzeug-Kommunikationsbus B (-) - Kurzschluss mit Bus B (+)	U0045 Vehicle communication bus B (-) - short circuit to bus B (+)
U0046 Fahrzeug-Kommunikationsbus C - Fehlfunktion	U0046 Vehicle communication bus C - malfunction
U0047 Fahrzeug-Kommunikationsbus C - Leistungsproblem	U0047 Vehicle communication bus C - performance problem
U0048 Fahrzeug-Kommunikationsbus C (+) - Leitungsunterbrechung	U0048 Vehicle communication bus C (+) - open circuit
U0049 Fahrzeug-Kommunikationsbus C (+) - Input niedrig	U0049 Vehicle communication bus C (+) - input low
U0050 Fahrzeug-Kommunikationsbus C (+) - Input hoch	U0050 Vehicle communication bus C (+) - input high
U0051 Fahrzeug-Kommunikationsbus C (-) - Leitungsunterbrechung	U0051 Vehicle communication bus C (-) - open circuit
U0052 Fahrzeug-Kommunikationsbus C (-) - Input niedrig	U0052 Vehicle communication bus C (-) - input low
U0053 Fahrzeug-Kommunikationsbus C (-) - Input hoch	U0053 Vehicle communication bus C (-) - input high
U0054 Fahrzeug-Kommunikationsbus C (-) - Kurzschluss mit Bus C (+)	U0054 Vehicle communication bus C (-) - short circuit to bus C (+)
U0055 Fahrzeug-Kommunikationsbus D - Fehlfunktion	U0055 Vehicle communication bus D - malfunction
U0056 Fahrzeug-Kommunikationsbus D - Leistungsproblem	U0056 Vehicle communication bus D - performance problem
U0057 Fahrzeug-Kommunikationsbus D (+) - Leitungsunterbrechung	U0057 Vehicle communication bus D (+) - open circuit
U0058 Fahrzeug-Kommunikationsbus D (+) - Input niedrig	U0058 Vehicle communication bus D (+) - input low
U0059 Fahrzeug-Kommunikationsbus D (+) - Input hoch	U0059 Vehicle communication bus D (+) - input high
U0060 Fahrzeug-Kommunikationsbus D (-) - Leitungsunterbrechung	U0060 Vehicle communication bus D (-) - open circuit
U0061 Fahrzeug-Kommunikationsbus D (-) - Input niedrig	U0061 Vehicle communication bus D (-) - input low
U0062 Fahrzeug-Kommunikationsbus D (-) - Input hoch	U0062 Vehicle communication bus D (-) - input high
U0063 Fahrzeug-Kommunikationsbus D (-) - Kurzschluss mit Bus D (+)	U0063 Vehicle communication bus D (-) - short circuit to bus D (+)
U0064 Fahrzeug-Kommunikationsbus E - Fehlfunktion	U0064 Vehicle communication bus E - malfunction
U0065 Fahrzeug-Kommunikationsbus E - Leistungsproblem	U0065 Vehicle communication bus E - performance problem
U0066 Fahrzeug-Kommunikationsbus E (+) - Leitungsunterbrechung	U0066 Vehicle communication bus E (+) - open circuit
U0067 Fahrzeug-Kommunikationsbus E (+) - Input niedrig	U0067 Vehicle communication bus E (+) - input low
U0068 Fahrzeug-Kommunikationsbus E (+) - Input hoch	U0068 Vehicle communication bus E (+) - input high
U0069 Fahrzeug-Kommunikationsbus E (-) - Leitungsunterbrechung	U0069 Vehicle communication bus E (-) - open circuit
U0070 Fahrzeug-Kommunikationsbus E (-) - Input niedrig	U0070 Vehicle communication bus E (-) - input low
U0071 Fahrzeug-Kommunikationsbus E (-) - Input hoch	U0071 Vehicle communication bus E (-) - input high
U0072 Fahrzeug-Kommunikationsbus E (-) - Kurzschluss mit Bus E (+)	U0072 Vehicle communication bus E (-) - short circuit to bus E (+)
U0073 Steuergerätekommunikation - Bus off	U0073 Control unit communication - bus off
U0100 Kommunikationsverlust mit Motorsteuergerät/Powertrain Steuergerät 1	U0100 Loss of communication with engine control unit/powertrain control unit 1
U0101 Kommunikationsverlust mit Getriebesteuergerät	U0101 Loss of communication with transmission control unit
U0102 Kommunikationsverlust mit Verteilergetriebe Steuergerät	U0102 Loss of communication with transfer case control unit
U0103 Kommunikationsverlust mit Schaltungs-Steuergerät	U0103 Loss of communication with gear shift control unit
U0104 Kommunikationsverlust mit Fahrgeschwindigkeitsregelungs-Steuergerät	U0104 Loss of communication with cruise control unit
U0105 Kommunikationsverlust mit Einspritzventil-Steuergerät	U0105 Loss of communication with injector control unit
U0106 Kommunikationsverlust mit Glühkerzen-Steuergerät	U0106 Loss of communication with glow plug control unit
U0107 Kommunikationsverlust mit Drosselklappensteller-Steuergerät	U0107 Loss of communication with throttle actuator control unit
U0108 Kommunikationsverlust mit Alternativkraftstoff-Steuergerät	U0108 Loss of communication with alternative fuel control unit
U0109 Kommunikationsverlust mit Kraftstoffpumpen-Steuergerät	U0109 Loss of communication with fuel pump control unit
U0110 Kommunikationsverlust mit Antriebsmotor-Steuergerät '1'	U0110 Loss of communication with drive motor control unit '1'
U0111 Kommunikationsverlust mit Batterie-Steuergerät 1	U0111 Loss of communication with battery control unit 1
U0112 Kommunikationsverlust mit Batterie-Steuergerät 2	U0112 Loss of communication with battery control unit 2
U0114 Kommunikationsverlust mit Kupplungs-Steuergerät Allrad	U0114 Loss of communication with all-wheel-drive clutch control unit
U0115 Kommunikationsverlust mit Motorsteuergerät/Powertrain Steuergerät 2	U0115 Loss of communication with engine control unit/powertrain control unit 2
U0116 Kommunikationsverlust mit Kühlmitteltemperatur-Steuergerät	U0116 Loss of communication with coolant temperature control unit
U0118 Kommunikationsverlust mit Kraftstoffadditiv-Steuergerät	U0118 Loss of communication with fuel additive control unit
U0119 Kommunikationsverlust mit Brennstoffzellen-Steuergerät	U0119 Loss of communication with fuel cell control unit
U0120 Kommunikationsverlust mit Anlasser-/Generator-Steuergerät	U0120 Loss of communication with starter/generator control unit
U0121 Kommunikationsverlust mit ABS Bremssystem-Steuergerät	U0121 Loss of communication with ABS brake system control unit
U0122 Kommunikationsverlust mit Fahrdynamik-Steuergerät	U0122 Loss of communication with vehicle dynamics control unit
U0123 Kommunikationsverlust mit Gierratensensor-Modul	U0123 Loss of communication with yaw rate sensor module
U0124 Kommunikationsverlust mit Querbeschleunigungssensor-Modul	U0124 Loss of communication with lateral acceleration sensor module
U0125 Kommunikationsverlust mit Mehrachsen-Beschleunigungssensor-Modul	U0125 Loss of communication with multi-axis acceleration sensor module
U0126 Kommunikationsverlust mit Lenkwinkelsensor (LWS)-Modul	U0126 Loss of communication with steering angle sensor (LWS) module
U0127 Kommunikationsverlust mit Reifendruck-Überwachungsmodul	U0127 Loss of communication with tire pressure monitoring module
U0128 Kommunikationsverlust mit Feststellbremsen-Steuergerät	U0128 Loss of communication with parking brake control unit
U0129 Kommunikationsverlust mit Bremssystem-Steuergerät	U0129 Loss of communication with brake system control unit
U0130 Kommunikationsverlust mit Lenkkraft-Steuergerät	U0130 Loss of communication with steering effort control unit
U0131 Kommunikationsverlust mit Servolenkung-Steuergerät	U0131 Loss of communication with power steering control unit
U0132 Kommunikationsverlust mit Höhenstands-Steuergerät	U0132 Loss of communication with ride height control unit
U0134 Kommunikationsverlust mit Servolenkung-Steuergerät (hinten)	U0134 Loss of communication with power steering control unit (rear)
U0135 Kommunikationsverlust mit Differential-Steuergerät (vorne)	U0135 Loss of communication with differential control unit (front)
U0136 Kommunikationsverlust mit Differential-Steuergerät (hinten)	U0136 Loss of communication with differential control unit (rear)
U0137 Kommunikationsverlust mit Anhängerbremsen-Steuergerät	U0137 Loss of communication with trailer brake control unit
U0140 Kommunikationsverlust mit Karosserie-Steuergerät	U0140 Loss of communication with body control unit
U0141 Kommunikationsverlust mit Karosserie-Steuergerät 1	U0141 Loss of communication with body control unit 1
U0142 Kommunikationsverlust mit Karosserie-Steuergerät 2	U0142 Loss of communication with body control unit 2
U0143 Kommunikationsverlust mit Karosserie-Steuergerät 3	U0143 Loss of communication with body control unit 3
U0144 Kommunikationsverlust mit Karosserie-Steuergerät 4	U0144 Loss of communication with body control unit 4
U0145 Kommunikationsverlust mit Karosserie-Steuergerät 5	U0145 Loss of communication with body control unit 5
U0146 Kommunikationsverlust mit Gateway 1	U0146 Loss of communication with gateway 1
U0147 Kommunikationsverlust mit Gateway 2	U0147 Loss of communication with gateway 2
U0148 Kommunikationsverlust mit Gateway 3	U0148 Loss of communication with gateway 3
U0149 Kommunikationsverlust mit Gateway 4	U0149 Loss of communication with gateway 4
U0150 Kommunikationsverlust mit Gateway 5	U0150 Loss of communication with gateway 5
U0151 Kommunikationsverlust mit Rückhaltesystem-Steuergerät	U0151 Loss of communication with restraint system control unit
U0152 Kommunikationsverlust mit Rückhaltesystem-Steuergerät (links)	U0152 Loss of communication with restraint system control unit (left)
U0153 Kommunikationsverlust mit Rückhaltesystem-Steuergerät (rechts)	U0153 Loss of communication with restraint system control unit (right)
U0158 Kommunikationsverlust mit Head Up Display	U0158 Loss of communication with head-up display
U0159 Kommunikationsverlust mit Einparkhilfe-Steuergerät 1	U0159 Loss of communication with parking assist control unit 1
U0160 Kommunikationsverlust mit akustischem Warn-Steuergerät	U0160 Loss of communication with acoustic warning control unit
U0161 Kommunikationsverlust mit Kompass-Modul	U0161 Loss of communication with compass module
U0162 Kommunikationsverlust mit Navigations-Dispay-Modul	U0162 Loss of communication with navigation display module
U0163 Kommunikationsverlust mit Navigations-Steuergerät	U0163 Loss of communication with navigation control unit
U0164 Kommunikationsverlust mit Heizungs-/Lüftungs-/Klimatisierungs-Steuergerät	U0164 Loss of communication with HVAC control unit
U0165 Kommunikationsverlust mit Heizungs-/Lüftungs-/Klimatisierungs-Steuergerät (hinten)	U0165 Loss of communication with HVAC control unit (rear)
U0166 Kommunikationsverlust mit Zusatzheizer-Steuergerät	U0166 Loss of communication with auxiliary heater control unit
U0167 Kommunikationsverlust mit EWS (elektronische Wegfahrsperre)-Steuergerät	U0167 Loss of communication with EWS (electronic immobilizer) control unit
U0168 Kommunikationsverlust mit Fahrzeugsicherheits-Steuergerät	U0168 Loss of communication with vehicle security control unit
U0169 Kommunikationsverlust mit Schiebedach-Steuergerät	U0169 Loss of communication with sunroof control unit
U0170 Kommunikationsverlust mit Rückhaltesystem Sensor 1	U0170 Loss of communication with restraint system sensor 1
U0171 Kommunikationsverlust mit Rückhaltesystem Sensor 2	U0171 Loss of communication with restraint system sensor 2
U0172 Kommunikationsverlust mit Rückhaltesystem Sensor 3	U0172 Loss of communication with restraint system sensor 3
U0173 Kommunikationsverlust mit Rückhaltesystem Sensor 4	U0173 Loss of communication with restraint system sensor 4
U0174 Kommunikationsverlust mit Rückhaltesystem Sensor 5	U0174 Loss of communication with restraint system sensor 5
U0175 Kommunikationsverlust mit Rückhaltesystem Sensor 6	U0175 Loss of communication with restraint system sensor 6
U0176 Kommunikationsverlust mit Rückhaltesystem Sensor 7	U0176 Loss of communication with restraint system sensor 7
U0177 Kommunikationsverlust mit Rückhaltesystem Sensor 8	U0177 Loss of communication with restraint system sensor 8
U0178 Kommunikationsverlust mit Rückhaltesystem Sensor 9	U0178 Loss of communication with restraint system sensor 9
U0179 Kommunikationsverlust mit Rückhaltesystem Sensor 10	U0179 Loss of communication with restraint system sensor 10
U0180 Kommunikationsverlust mit autom. Beleuchtungs-Steuergerät	U0180 Loss of communication with automatic lighting control unit
U0181 Kommunikationsverlust mit Leuchtweitenregulierungs-Steuergerät	U0181 Loss of communication with headlamp leveling control unit
U0182 Kommunikationsverlust mit Beleuchtungs-Steuergerät (vorne)	U0182 Loss of communication with lighting control unit (front)
U0183 Kommunikationsverlust mit Beleuchtungs-Steuergerät (hinten)	U0183 Loss of communication with lighting control unit (rear)
U0184 Kommunikationsverlust mit Radio	U0184 Loss of communication with radio
U0185 Kommunikationsverlust mit Antennen-Steuergerät	U0185 Loss of communication with antenna control unit
U0186 Kommunikationsverlust mit Audio Verstärker	U0186 Loss of communication with audio amplifier
U0191 Kommunikationsverlust mit Fernsehen	U0191 Loss of communication with television
U0192 Kommunikationsverlust mit Personalcomputer	U0192 Loss of communication with personal computer
U0196 Kommunikationsverlust mit Entertainment-Steuergerät - (hinten 1)	U0196 Loss of communication with entertainment control unit - (rear 1)
U0197 Kommunikationsverlust mit Telefon-Steuergerät	U0197 Loss of communication with telephone control unit
U0198 Kommunikationsverlust mit Telematik-Steuergerät	U0198 Loss of communication with telematics control unit
U0199 Kommunikationsverlust mit Tür-Steuergerät 1	U0199 Loss of communication with door control unit 1
U0200 Kommunikationsverlust mit Tür-Steuergerät 2	U0200 Loss of communication with door control unit 2
U0201 Kommunikationsverlust mit Tür-Steuergerät 3	U0201 Loss of communication with door control unit 3
U0202 Kommunikationsverlust mit Tür-Steuergerät 4	U0202 Loss of communication with door control unit 4
